end station name,trips
Riverside Dr & W 82 St,1093
Riverside Dr & W 91 St,808
Riverview Park,2
Rivington St & Chrystie St,1563
Rivington St & Ridge St,1438
Rockaway Ave & Bainbridge St,261
Roebling St & N 4 St,704
Rogers Ave & Sterling St,543
Roosevelt Island Tramway,543
S 3 St & Bedford Ave,997
S 4 St & Rodney St,693
S 4 St & Wythe Ave,1515
S 5 Pl & S 5 St,2279
S Portland Ave & Hanson Pl,629
Sands St Gate,754
Schermerhorn St & Bond St,1071
Schermerhorn St & Court St,942
Scholes St & Manhattan Ave,785
Seneca Ave & Irvine St,9
Shakespeare Ave & W 169 St,85
Sharon St & Olive St,415
Sheridan Ave & E 168 St,121
Sheridan Ave & E 172 St,20
Sherman Ave & E 166 St,48
Sigourney St & Columbia St,207
Smith St & 3 St,476
Smith St & 9 St,370
Somers St & Broadway,33
South St & Gouverneur Ln,1212
South St & Whitehall St,787
Southern Blvd & Avenue St. John,51
Southern Blvd & E 142 St,9
Southern Blvd & E 149 St,59
Southern Blvd & E 172 St,50
Southern Blvd & E 174 St,10
Southern Blvd & E 175 St,78
Southern Blvd & Tiffany St,60
Southpoint Park,89
Spring St & Hudson St,222
Spruce St & Nassau St,1104
St Ann's Ave & Westchester Ave,48
St James Pl & Oliver St,1166
St James Pl & Pearl St,592
St Johns Pl & Washington Ave,525
St Marks Pl & 1 Ave,2677
St Marks Pl & 2 Ave,1863
St Mary's St & Jackson Ave,66
St Nicholas Ave & E 134 St,461
St Nicholas Ave & Manhattan Ave,1328
St Nicholas Ave & W 137 St,239
St Nicholas Ave & W 150 St,276
St. Ann's Av & Bruckner Blvd,36
St. Ann's Ave & E 144 St,52
St. Nicholas Ave & W 126 St,1201
St. Nicholas Ave & W 155 St,148
St. Nicholas Ave & W 157 St,117
St. Nicholas Terrace & Convent Ave,106
Stagg St & Morgan Ave,174
Stagg St & Union Ave,991
Stanhope St & Fairview Ave,77
Stanton St & Chrystie St,2003
Stanton St & Mangin St,708
Stanton St & Norfolk St,1536
State St & Smith St,1017
Steinway St & 23 Ave,330
Steinway St & 28 Ave,678
Stephen St & Seneca Ave,16
Sterling Pl & Bedford Ave,584
Sterling St & Bedford Ave,338
Stewart Ave & Johnson Ave,73
Stockholm St & Wilson Ave,343
Stuyvesant Walk & 1 Av Loop,239
Suffolk St & Stanton St,2129
Sullivan Pl & Bedford Ave,183
Sullivan Pl & Franklin Ave,725
Sullivan St & Washington Sq,1540
Sunken Meadow Comfort Station,114
Suydam St & Broadway,363
Suydam St & Knickerbocker Ave,444
Suydam St & St. Nicholas Ave,85
Thompson St & Bleecker St,359
Throop Ave & Myrtle Ave,214
Tinton Ave & E 165 St,101
Tompkins Ave & Hopkins St,287
Underhill Ave & Lincoln Pl,620
Underhill Ave & Pacific St,520
Union Ave & E 169 St,16
Union Ave & Jackson St,420
Union Ave & N 12 St,1046
Union Ave & Wallabout St,358
Union St & 4 Ave,985
Union St & Bedford Ave,209
Union St & Nevins St,317
University Ave & W 168 St,12
University Pl & E 14 St,4324
University Pl & E 8 St,2755
Van Brunt St & Van Dyke St,441
Van Brunt St & Wolcott St,377
Van Buren St & Broadway,180
Van Sinderen Ave & Truxton St,103
Vernon Blvd & 10 St,470
Vernon Blvd & 30 Rd,356
Vernon Blvd & 31 Ave,315
Vernon Blvd & 41 Rd,246
Vernon Blvd & 47 Rd,326
Vernon Blvd & 50 Ave,760
Verona Pl & Fulton St,310
Vesey Pl & River Terrace,1473
W 10 St & Washington St,180
W 100 St & Broadway,1995
W 100 St & Manhattan Ave,1728
W 104 St & Amsterdam Ave,752
W 106 St & Amsterdam Ave,1024
W 106 St & Central Park West,1248
W 107 St & Columbus Ave,555
W 11 St & 6 Ave,1576
W 110 St & Amsterdam Ave,1070
W 113 St & Broadway,997
W 116 St & Amsterdam Ave,603
W 116 St & Broadway,620
W 120 St & Claremont Ave,461
W 129 St & Convent Ave,220
W 13 St & 5 Ave,2281
W 13 St & 7 Ave,2118
W 133 St & 12 Ave,84
W 135 St & Lenox Terrace Pl,384
W 140 St & Riverside Dr,148
W 144 St & Adam Clayton Powell Blvd,225
W 145 St & Amsterdam Ave,280
W 146 St & Broadway,299
W 147 St & Adam Clayton Powell Blvd,225
W 148 St & Amsterdam Ave,239
W 15 St & 10 Ave,1024
W 15 St & 6 Ave,2743
W 15 St & 7 Ave,2505
W 155 St & Frederick Douglass Blvd,124
W 159 St & Edgecombe Ave,49
W 16 St & The High Line,1746
W 160 St & St. Nicholas Ave,136
W 163 St & Edgecombe Ave,22
W 163 St & Riverside Dr,84
W 165 St & Fort Washington Ave,230
W 167 St & St. Nicholas Ave,4
W 169 St & Fort Washington Ave,621
W 17 St & 8 Ave,1215
W 170 St & University Ave,50
W 171 St & St. Nicholas Ave,202
W 18 St & 6 Ave,2533
W 18 St & 9 Ave,770
W 180 St & Ft Washington Ave,231
W 181 St & Riverside Dr,180
W 20 St & 10 Ave,2222
W 20 St & 7 Ave,2266
W 20 St & 8 Ave,2239
W 21 St & 6 Ave,5919
W 22 St & 10 Ave,3103
W 22 St & 8 Ave,3037
W 24 St & 7 Ave,3343
W 25 St & 6 Ave,2134
W 26 St & 10 Ave,1536
W 26 St & 8 Ave,2844
W 27 St & 7 Ave,2610
W 30 St & 10 Ave,2922
W 31 St & 7 Ave,3191
W 33 St & 7 Ave,3438
W 34 St & 11 Ave,1800
W 35 St & 9 Ave,669
W 35 St & Dyer Ave,905
W 36 St & 9 Ave,1465
W 37 St & 10 Ave,2358
W 37 St & 5 Ave,1481
W 4 St & 7 Ave S,2812
W 40 St & 5 Ave,2023
W 41 St & 8 Ave,3384
W 42 St & 6 Ave,2425
W 42 St & 8 Ave,2033
W 42 St & Dyer Ave,1665
W 43 St & 10 Ave,3220
W 44 St & 11 Ave,773
W 44 St & 5 Ave,1636
W 45 St & 8 Ave,1718
W 46 St & 11 Ave,1216
W 47 St & 10 Ave,2826
W 47 St & 6 Ave,855
W 48 St & Rockefeller Plaza,1177
W 49 St & 8 Ave,2610
W 50 St & 10 Ave,647
W 50 St & 9 Ave,1716
W 51 St & 6 Ave,1475
W 51 St & Rockefeller Plaza,1220
W 52 St & 11 Ave,1100
W 52 St & 6 Ave,1377
W 53 St & 10 Ave,2197
W 54 St & 11 Ave,860
W 54 St & 9 Ave,1776
W 55 St & 6 Ave,2338
W 56 St & 10 Ave,1425
W 59 St & 10 Ave,2143
W 63 St & Broadway,2266
W 64 St & Thelonious Monk Circle,1755
W 67 St & Broadway,1979
W 70 St & Amsterdam Ave,2421
W 74 St & Columbus Ave,1398
W 76 St & Columbus Ave,1372
W 78 St & Amsterdam Ave,2080
W 82 St & Central Park West,1230
W 84 St & Broadway,1345
W 84 St & Columbus Ave,1544
W 87 St & Amsterdam Ave,1271
W 87 St & West End Ave,1374
W 89 St & Columbus Ave,1493
W 90 St & Amsterdam Ave,1020
W 92 St & Broadway,1074
W 95 St & Broadway,1672
W Broadway & Spring St,1621
W Broadway & W Houston St,1360
Wadsworth Ave & W 175 St,97
Wadsworth Ave & W 179 St,153
Wales Ave & E 147 St,32
Wall St & South St,211
Walnut Ave & E 136 St,62
Walton Ave & E 153 St,60
Walton Ave & E 168 St,102
Walton Ave & E 171 St,144
Wards Meadow Comfort Station,306
Warren St & Court St,591
Warren St & W Broadway,736
Washington Ave & E 163 St,95
Washington Ave & E 167 St,92
Washington Ave & E 174 St,74
Washington Ave & Greene Ave,555
Washington Ave & Park Ave,619
Washington Park,542
Washington Pl & 6 Ave,1614
Washington Pl & Broadway,1661
Washington St,1
Washington St & Gansevoort St,1957
Water - Whitehall Plaza,431
Waterbury St & Stagg St,236
Waterloo Pl & Crotona Park East,30
Watts St & Greenwich St,1264
Webster Ave & E 166 St,47
West Drive & Prospect Park West,1964
West End Ave & W 107 St,1000
West End Ave & W 60 St,2206
West End Ave & W 78 St,889
West End Ave & W 94 St,1063
West Farms Rd & Boone Ave,28
West St & Chambers St,3420
West St & Liberty St,3090
West Thames St,877
Westchester Ave & E 156 St,46
Westchester Ave & Jackson Ave,106
Westchester Ave & Longwood Ave,87
Westchester Ave & Southern Blvd,47
White St & Johnson Ave,85
White St & Moore St,318
Wilkins Ave & Crotona Park E,10
William St & Pine St,1300
Willis Ave & Bruckner Blvd,111
Willis Ave & E 137 St,193
Willis Ave & E 141 St,108
Willis Ave & E 143 St,47
Willoughby Ave & Hall St,720
Willoughby Ave & Myrtle Ave,326
Willoughby Ave & Onderdonk Ave,93
Willoughby Ave & Tompkins Ave,440
Willoughby Ave & Walworth St,606
Willoughby Ave & Wyckoff Ave,199
Willoughby St & Ashland Pl,267
Willoughby St & Fleet St,972
Willow Ave & E 133 St,57
Wilson Ave & Moffat St,138
Wilson Ave & Troutman St,244
Withers St & Kingsland Ave,229
Wolcott St & Dwight St,95
Woodward Ave & Harman St,104
Wyckoff Av & Jefferson St,248
Wyckoff Av & Stanhope St,375
Wyckoff St & Nevins St,459
Wythe Ave & Metropolitan Ave,1462
