,end station name,end station latitude,end station longitude
646,E 171 St & Webster Ave,40.838378999999996,-73.905838
649,Allen St & Hester St,40.71605866,-73.99190759
652,Hancock St & Wyckoff Ave,40.6972,-73.90674
654,W 110 St & Amsterdam Ave,40.802692,-73.96295
655,Harrison St & Hudson St,40.71870987,-74.0090009
656,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554
661,E 47 St & 2 Ave,40.75323098,-73.97032517
663,Sherman Ave & E 166 St,40.83130549267296,-73.91744792461395
666,Central Ave & Decatur St,40.6882,-73.90798000000001
667,Jerome Ave & Anderson Ave,40.830179,-73.928747
669,Forest Ave & Summerfield St,40.699220000000004,-73.89795
672,Irving Ave & Harman St,40.70108,-73.9179
673,Beaver St & Fayette St,40.700990000000004,-73.93921
674,Central Ave & Himrod St,40.69676,-73.92302
677,Willis Ave & E 137 St,40.808384000000004,-73.923604
680,3 Ave & E 62 St,40.76312584,-73.96526895
683,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103
685,St. Ann's Ave & E 144 St,40.811112,-73.914932
687,Hamilton Pl & W 138 St,40.821728,-73.952761
694,E 78 St & 2 Ave,40.7727966,-73.95577801
699,Ogden Ave & W 165 St,40.834457,-73.928381
701,Lafayette Ave & St James Pl,40.68851534,-73.9647628
702,11 Ave & W 27 St,40.751396,-74.00522600000001
704,24 St & 41 Ave,40.752474,-73.939991
708,48 Ave & 30 Pl,40.74128309355993,-73.93725872039794
711,Washington St & Gansevoort St,40.739323,-74.008119
713,Moffat St & Bushwick,40.68458,-73.90925
716,St. Nicholas Ave & W 155 St,40.830663,-73.941323
717,West Farms Rd & Boone Ave,40.830025,-73.886312
718,Putnam Ave & Nostrand Ave,40.684020000000004,-73.94977
719,E 98 St & Park Ave,40.788129999999995,-73.95206
720,Newton Rd & 44 St,40.7595701,-73.91426779999999
725,E 97 St & Madison Ave,40.787801,-73.953559
737,Forsyth St & Broome St,40.71893904,-73.99266288
740,Westchester Ave & Longwood Ave,40.819701,-73.90131099999999
741,Willis Ave & E 141 St,40.81093,-73.92160600000001
742,W 35 St & 9 Ave,40.754145192635185,-73.9960889518261
747,W 155 St & Frederick Douglass Blvd,40.829229999999995,-73.936996
750,E 58 St & Madison Ave,40.763025942805186,-73.97209525108337
752,2 Ave & E 31 St,40.74290902,-73.97706058
758,E 91 St & Park Ave,40.7835016,-73.955327
759,2 Ave & E 104 St,40.789210499999996,-73.94370784
761,Sands St Gate,40.699569,-73.979827
762,Broadway & W 51 St,40.76228826,-73.98336183
763,Broadway & W 36 St,40.75097711,-73.98765428
768,24 Ave & 26 St,40.774591,-73.918544
769,Lexington Ave & E 128 St,40.806414000000004,-73.93608499999999
770,Barclay St & Church St,40.71291224,-74.01020234
774,E 76 St & Park Ave,40.773763,-73.96222088
775,Morris Ave & E 153 St,40.820036,-73.92141099999999
776,E 170 St & Webster Ave,40.83617913677475,-73.90730146322765
777,Morgan Ave & Lombardy St,40.72226,-73.93889
778,E 10 St & Avenue A,40.72740794,-73.98142006
781,Maiden Ln & Pearl St,40.70706456,-74.00731853
790,Bialystoker Pl & Delancey St,40.71622644,-73.98261206
791,E 47 St & Park Ave,40.75510267,-73.97498696
792,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659
793,Pulaski St & Marcus Garvey Blvd,40.693398200000004,-73.939877
794,Broadway & W 29 St,40.7462009,-73.98855723
799,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465
801,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001
802,Astoria Park S & Shore Blvd,40.7767,-73.927631
803,Macombs Pl & W 152 St,40.826406,-73.93794799999999
805,Freeman St & Reverend James A Polite Ave,40.830529,-73.894717
806,Madison Av & E 51 St,40.75863,-73.97513000000001
809,E 53 St & Madison Ave,40.75971079999999,-73.97402311
810,1 Ave & E 62 St,40.761227399999996,-73.96094022
813,West End Ave & W 94 St,40.7941654,-73.974124
814,W 42 St & 6 Ave,40.75492,-73.98455
815,8 Ave & W 38 St,40.75461,-73.99176999999999
817,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558
819,W 13 St & 7 Ave,40.73781509,-73.99994661
822,Willoughby Ave & Walworth St,40.69331716,-73.95381995
