end station name,trips
Court St & Nelson St,418
Court St & State St,1341
Crescent St & 30 Ave,187
Crescent St & 34 Ave,190
Crescent St & 35 Ave,123
Crescent St & Broadway,294
Crescent St & Ditmars Blvd,114
Cumberland St & Lafayette Ave,572
Cypress Ave & George St,26
Cypress Ave & Palmetto St,27
DeKalb Ave & Franklin Ave,291
DeKalb Ave & Hudson Ave,1469
DeKalb Ave & S Portland Ave,580
DeKalb Ave & Vanderbilt Ave,660
Dean St & 4 Ave,1347
Dean St & Franklin Ave,486
Dean St & Hoyt St,446
Degraw St & Hoyt St,442
Degraw St & Smith St,593
Devoe St & Lorimer St,748
Devoe St & Morgan Ave,112
Ditmars Blvd & 19 St,253
Division Ave & Hooper St,309
Division Ave & Marcy Ave,105
Division St & Bowery (old),1994
Dock 72 Way & Market St,331
Douglass St & 3 Ave,783
Douglass St & 4 Ave,654
Driggs Ave & Lorimer St,434
Driggs Ave & N 9 St,1489
Driggs Ave & N Henry St,668
Duane St & Greenwich St,899
Duffield St & Willoughby St,865
Dwight St & Van Dyke St,73
E 10 St & 5 Ave,1906
E 10 St & Avenue A,2766
E 102 St & 1 Ave,752
E 102 St & Park Ave,331
E 103 St & Lexington Ave,540
E 106 St & 1 Ave,279
E 106 St & Lexington Ave,324
E 106 St & Madison Ave,288
E 109 St & 3 Ave,469
E 11 St & 1 Ave,2971
E 11 St & 2 Ave,2867
E 11 St & Avenue B,2286
E 110 St & Madison Ave,695
E 114 St & 1 Ave,247
E 115 St & Lexington Ave,437
E 115 St & Madison Ave,312
E 116 St & 2 Ave,186
E 118 St & 1 Ave,300
E 118 St & 3 Ave,263
E 118 St & Madison Ave,375
E 118 St & Park Ave,197
E 12 St & 3 Ave,2072
E 12 St & 4 Av,2555
E 123 St & Lexington Ave,221
E 128 St & Madison Ave,252
E 13 St & Avenue A,4344
E 15 St & 3 Ave,3277
E 16 St & 5 Ave,3335
E 16 St & Irving Pl,2204
E 17 St & Broadway,6585
E 19 St & 3 Ave,2171
E 2 St & 2 Ave,2707
E 2 St & Avenue A,3149
E 2 St & Avenue B,2280
E 2 St & Avenue C,1844
E 20 St & 2 Ave,3219
E 20 St & FDR Drive,2606
E 20 St & Park Ave,2686
E 23 St & 1 Ave,3038
E 24 St & Park Ave S,3702
E 25 St & 1 Ave,2143
E 25 St & 2 Ave,3214
E 27 St & 1 Ave,2095
E 30 St & Park Ave S,2119
E 31 St & 3 Ave,2855
E 32 St & Park Ave,3564
E 33 St & 1 Ave,3285
E 33 St & 5 Ave,2664
E 39 St & 2 Ave,3024
E 39 St & 3 Ave,2533
E 4 St & 2 Ave,3028
E 41 St & Madison Ave,1640
E 43 St & 2 Ave,1246
E 43 St & 5 Ave,2154
E 45 St & 3 Ave,1872
E 47 St & 1 Ave,930
E 47 St & 2 Ave,1699
E 47 St & Park Ave,4702
E 48 St & 3 Ave,1421
E 48 St & 5 Ave,2616
E 5 St & Avenue C,1694
E 51 St & 1 Ave,1362
E 51 St & 2 Ave,1221
E 51 St & Lexington Ave,1639
E 53 St & Lexington Ave,2303
E 53 St & Madison Ave,2021
E 55 St & 2 Ave,2168
E 56 St & 3 Ave,1456
E 56 St & Madison Ave,884
E 58 St &  1 Ave (NW Corner),1009
E 58 St & 1 Ave (NE Corner),640
E 58 St & 3 Ave,2269
E 58 St & Madison Ave,1057
E 59 St & Madison Ave,1422
E 6 St & Avenue B,2796
E 6 St & Avenue D,1614
E 60 St & York Ave,534
E 63 St & 3 Ave,703
E 65 St & 2 Ave,772
E 66 St & Madison Ave,491
E 67 St & Park Ave,619
E 68 St & 3 Ave,745
E 68 St & Madison Ave,483
E 7 St & Avenue A,3244
E 72 St & Park Ave,962
E 72 St & York Ave,1750
E 74 St & 1 Ave,1331
E 75 St & 3 Ave,901
E 76 St & Park Ave,880
E 77 St & 3 Ave,898
E 78 St & 2 Ave,603
E 81 St & 2 Ave,873
E 81 St & 3 Ave,876
E 81 St & Park Ave,417
E 81 St & York Ave,977
E 82 St & East End Ave,711
E 84 St & 1 Ave,1103
E 84 St & Park Ave,894
E 85 St & 3 Ave,1579
E 85 St & York Ave,654
E 88 St & 1 Ave,901
E 88 St & Park Ave,559
E 89 St & 3 Ave,869
E 89 St & York Ave,697
E 9 St & Avenue C,2354
E 91 St & 2 Ave,1023
E 91 St & Park Ave,720
E 93 St & 2 Ave,549
E 95 St & 3 Ave,362
E 97 St & 3 Ave,360
E 97 St & Madison Ave,745
E 98 St & Park Ave,254
East End Ave & E 86 St,413
Eastern Pkwy & Franklin Ave,446
Eastern Pkwy & Washington Ave,293
Eldert St & Bushwick Ave,58
Emerson Pl & Myrtle Ave,681
Engert Ave & McGuinness Blvd,199
Evergreen Ave & Noll St,83
FDR Drive & E 35 St,2496
Fairview Ave & Linden St,11
Flushing Ave & Vanderbilt Ave,825
Flushing Ave & Woodward Ave,35
Forest Ave & Summerfield St,43
Forsyth St & Broome St,2430
Forsyth St & Canal St,2123
Franklin Ave & Empire Blvd,489
Franklin Ave & Myrtle Ave,237
Franklin Ave & St Marks Ave,295
Franklin St & Dupont St,523
Franklin St & W Broadway,1179
Frederick Douglass Blvd & W 112 St,699
Frederick Douglass Blvd & W 115 St,573
Frederick Douglass Blvd & W 117 St,831
Frederick Douglass Blvd & W 129 St,256
Front St & Gold St,571
Front St & Jay St,726
Front St & Maiden Ln,1128
Front St & Washington St,1202
Frost St & Debevoise Ave,60
Frost St & Meeker Ave,278
Fulton St & Adams St,1495
Fulton St & Broadway,2003
Fulton St & Clermont Ave,413
Fulton St & Irving Pl,396
Fulton St & Rockwell Pl,700
Fulton St & Utica Ave,229
Fulton St & Waverly Ave,681
Fulton St & William St,1274
Gansevoort St & Hudson St,2550
Garfield Pl & 8 Ave,467
George St & Wilson Ave,129
Graham Ave & Conselyea St,1039
Graham Ave & Grand St,589
Graham Ave & Herbert St,307
Graham Ave & Withers St,415
Grand Army Plaza & Central Park S,3385
Grand Army Plaza & Plaza St West,585
Grand Ave & Bergen St,542
Grand St & Elizabeth St,3814
Grand St & Havemeyer St,886
Great Jones St,4097
Green St & McGuinness Blvd,77
Greene Av & Myrtle Av,152
Greene Ave & Grandview Ave,31
Greene Ave & Nostrand Ave,334
Greene Ave & Throop Ave,277
Greenpoint Ave & Manhattan Ave,913
Greenwich Ave & 8 Ave,3683
Greenwich Ave & Charles St,1998
Greenwich St & W Houston St,1966
Grove St & Broadway,162
Halsey St & Broadway,69
Halsey St & Evergreen Ave,44
Halsey St & Tompkins Ave,303
Hancock St & Bedford Ave,257
Hancock St & Wyckoff Ave,18
Hanson Pl & Ashland Pl,2099
Harman St & Seneca Ave,42
Harrison Pl & Porter Ave,59
Harrison St & Hudson St,705
Hart St & Wyckoff Ave,46
Henry St & Atlantic Ave,888
Henry St & Bay St,41
Henry St & Degraw St,819
Henry St & Grand St,1904
